label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,PSB0042_WS_blank_0,PSB0042_WS_blank_1,PSB0042_WS_blank_2,PSB0042_WS_blank_3,PSB0042_WS_blank_4,PSB0042_WS_blank_5,PSB0042_WS_blank_6,PSB0042_WS_S01_HPLMax_R1,PSB0042_WS_S02_HPLMax_R2,PSB0042_WS_S03_HPLMax_R3,PSB0042_WS_S04_HPLMax_R4,PSB0042_WS_S05_HPLMax_R5,PSB0042_WS_S06_HPLMaxLowGlc_R1,PSB0042_WS_S07_HPLMaxLowGlc_R2,PSB0042_WS_S08_HPLMaxLowGlc_R3,PSB0042_WS_S09_HPLMaxLowGlc_R4,PSB0042_WS_S10_HPLMaxLowGlc_R5,PSB0042_WS_S11_KD_R1,PSB0042_WS_S12_KD_R2,PSB0042_WS_S13_KD_R3,PSB0042_WS_S14_KD_R4,PSB0042_WS_S15_KD_R5,PSB0042_WS_S16_KDHighGlc_R1,PSB0042_WS_S17_KDHighGlc_R2,PSB0042_WS_S18_KDHighGlc_R3,PSB0042_WS_S19_KDHighGlc_R4,PSB0042_WS_S20_KDHighGlc_R5
,13,13,1,168.065781,3.286,0.735178,[M-H]-,,Pyridoxine (1),C00314,C8H11NO3,1.686,4.993457,168.065781,5621.46,0.00,11385.81,8977.46,30204.59,15840.75,14267.22,1427594.12,985999.25,209827.53,628411.12,1434734.75,1720853.38,715124.19,1026734.38,840226.19,1145435.62,1295766.88,2482477.50,2379476.50,1309519.00,1341025.12,1393635.50,1203317.00,436943.50,965172.88,1202525.62
,14,14,2,168.065811,5.604,0.734030,[M-H]-,,Pyridoxine (1),C00314,C8H11NO3,4.004,4.811876,168.065811,7497.40,0.00,0.00,4756.40,4712.16,0.00,23875.34,0.00,12584.85,90801.42,229821.27,105626.61,7752.15,75809.36,86797.71,302010.19,53116.62,0.00,20810.39,113233.55,0.00,103237.84,10212.66,0.00,0.00,228563.91,10795.68
g,15,15,0,168.065735,1.800,0.273498,[M-H]-,,Norepinephrine (1),C00547,C8H11NO3,0.200,5.265827,168.065735,0.00,13957.83,79213.06,72140.75,73875.16,65001.54,469491.78,9232101.00,8902359.00,6591409.00,10094006.00,15901675.00,9126037.00,11357922.00,13397952.00,12070833.00,16079980.00,13934650.00,20640570.00,12752032.00,20159094.00,16000060.00,14600621.00,14340836.00,6798271.00,15776939.00,17810752.00
,16,16,1,168.065781,3.286,0.735178,[M-H]-,,Norepinephrine (1),C00547,C8H11NO3,1.686,4.993457,168.065781,5621.46,0.00,11385.81,8977.46,30204.59,15840.75,14267.22,1427594.12,985999.25,209827.53,628411.12,1434734.75,1720853.38,715124.19,1026734.38,840226.19,1145435.62,1295766.88,2482477.50,2379476.50,1309519.00,1341025.12,1393635.50,1203317.00,436943.50,965172.88,1202525.62
,17,17,2,168.065811,5.604,0.734030,[M-H]-,,Norepinephrine (1),C00547,C8H11NO3,4.004,4.811876,168.065811,7497.40,0.00,0.00,4756.40,4712.16,0.00,23875.34,0.00,12584.85,90801.42,229821.27,105626.61,7752.15,75809.36,86797.71,302010.19,53116.62,0.00,20810.39,113233.55,0.00,103237.84,10212.66,0.00,0.00,228563.91,10795.68
,18,18,4,167.020477,2.320,0.782379,[M-H]-,,Uric acid (1),C00366,C5H4N4O3,-1.000,3.471622,167.020477,29483.99,6968.70,10236.69,4680.67,3486.70,8109.49,0.00,110100.66,136348.53,90876.27,186628.45,250384.44,255459.95,172948.03,188972.11,206431.12,379038.41,280864.50,340651.53,226290.27,295297.41,73024.27,240330.61,314089.47,100546.84,304724.22,331536.88
,19,19,3,167.020584,3.141,0.796701,[M-H]-,,Uric acid (1),C00366,C5H4N4O3,-1.000,2.832113,167.020584,28559.87,0.00,9873.30,6083.24,9542.61,13009.00,0.00,66391.34,84545.64,92449.84,67233.43,107543.75,92497.45,71657.30,174420.28,79579.13,96467.54,197402.56,200343.55,48129.55,108925.05,159692.22,158539.66,125479.66,78280.93,170483.52,95720.27
,20,20,3,167.021469,4.019,0.829477,[M-H]-,,Uric acid (1),C00366,C5H4N4O3,-1.000,2.466679,167.021469,17620.93,7899.21,0.00,5250.59,0.00,15967.30,0.00,18642.02,57819.70,307671.16,13411.36,38834.91,0.00,75333.67,65686.16,65526.25,68474.06,10282.69,46666.70,93022.46,48783.07,102075.34,72120.04,68529.82,436844.88,51025.40,77357.81
,21,21,9,167.020569,4.820,0.832812,[M-H]-,,Uric acid (1),C00366,C5H4N4O3,-1.000,2.923471,167.020569,36032.57,6303.36,0.00,0.00,6989.27,0.00,0.00,345670.56,295395.25,8504.84,287726.62,284142.66,396770.69,403288.28,298024.09,516756.78,496071.16,511495.31,488075.72,519942.88,485080.72,530064.94,351539.84,434466.12,0.00,461831.25,321507.41
g,22,22,6,166.974197,6.725,0.802101,[M-H]-,,Phosphoenolpyruvic acid (1),C00074,C3H5O6P,1.225,5.391634,166.974197,240767.75,172515.97,843416.69,714708.19,573927.38,852558.50,805522.19,6503046.50,5621800.00,2417148.75,3613238.75,5127451.00,9999402.00,8206908.00,8190701.00,7543846.00,13488961.00,6824188.50,5625885.00,2698300.50,4775888.50,4933642.50,7269998.00,5144049.00,3236919.00,4609421.50,3991158.25
