label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,PSB0042_WS_blank_0,PSB0042_WS_blank_1,PSB0042_WS_blank_2,PSB0042_WS_blank_3,PSB0042_WS_blank_4,PSB0042_WS_blank_5,PSB0042_WS_blank_6,PSB0042_WS_S01_HPLMax_R1,PSB0042_WS_S02_HPLMax_R2,PSB0042_WS_S03_HPLMax_R3,PSB0042_WS_S04_HPLMax_R4,PSB0042_WS_S05_HPLMax_R5,PSB0042_WS_S06_HPLMaxLowGlc_R1,PSB0042_WS_S07_HPLMaxLowGlc_R2,PSB0042_WS_S08_HPLMaxLowGlc_R3,PSB0042_WS_S09_HPLMaxLowGlc_R4,PSB0042_WS_S10_HPLMaxLowGlc_R5,PSB0042_WS_S11_KD_R1,PSB0042_WS_S12_KD_R2,PSB0042_WS_S13_KD_R3,PSB0042_WS_S14_KD_R4,PSB0042_WS_S15_KD_R5,PSB0042_WS_S16_KDHighGlc_R1,PSB0042_WS_S17_KDHighGlc_R2,PSB0042_WS_S18_KDHighGlc_R3,PSB0042_WS_S19_KDHighGlc_R4,PSB0042_WS_S20_KDHighGlc_R5
,47,47,20,146.044937,6.004,0.821245,[M-H]-,,L-Glutamic acid (1),C00025,C5H9NO4,0.504,6.477724,146.044937,233891.75,85419.34,234587.42,153678.62,199630.39,105013.58,91444.69,29890088.00,20503374.00,6732868.50,12924796.00,19409624.00,35852188.00,28116894.00,28115268.00,21198356.00,18295004.00,27692140.00,21767804.00,19472840.00,17796974.00,17060012.00,20308270.00,21026380.00,10794423.00,16856468.00,16736317.00
g,48,48,0,146.044968,6.491,0.299952,[M-H]-,,L-Glutamic acid (1),C00025,C5H9NO4,0.991,6.268765,146.044968,16552820.00,7134435.00,14960601.00,10303534.00,9909048.00,10236862.00,9341091.00,489467488.00,398658080.00,317250752.00,379384224.00,478480224.00,597885888.00,449188928.00,436058592.00,387145952.00,398466112.00,572230272.00,439833536.00,656020288.00,421044960.00,394974912.00,484126176.00,484825248.00,358988128.00,430581344.00,385886944.00
,49,49,2,146.044952,8.067,0.571608,[M-H]-,,L-Glutamic acid (1),C00025,C5H9NO4,2.567,6.373245,146.044952,359376.75,224566.98,842842.69,280584.81,286356.78,369434.28,690406.50,6806231.00,11670927.00,2609144.00,9255936.00,3604598.75,6149861.00,12993265.00,11272166.00,13248289.00,11428952.00,5046742.50,7884270.00,9869018.00,8927300.00,11270558.00,11720470.00,7006865.00,7915508.50,11699777.00,9618984.00
g,50,50,1,145.097290,13.354,0.677314,[M-H]-,,L-Lysine (1),C00047,C6H14N2O2,3.354,6.625192,145.097290,79033.09,29546.91,198926.69,350073.56,110545.70,232785.45,459391.31,35168280.00,26046244.00,4650599.50,15111587.00,47415724.00,41112132.00,26315846.00,36827672.00,19123834.00,29294554.00,42336408.00,47031000.00,29543108.00,36407596.00,35192344.00,36814072.00,37444992.00,13597414.00,34500124.00,31365102.00
g,51,51,18,157.024536,5.908,0.817825,[M-H]-,,L-Dihydroorotic acid (1),C00337,C5H6N2O4,0.908,6.024786,157.024536,152211.86,177374.78,143065.53,124524.19,192384.08,132485.42,102647.60,91403456.00,42979864.00,17898218.00,30795376.00,43552724.00,146960528.00,79345720.00,80384488.00,66107912.00,30964684.00,66057076.00,54349356.00,46557620.00,43783140.00,31059578.00,56098828.00,51814548.00,23276512.00,39149096.00,34194340.00
,52,52,21,157.024506,6.411,0.839958,[M-H]-,,L-Dihydroorotic acid (1),C00337,C5H6N2O4,1.411,6.219134,157.024506,395373.19,417984.25,590566.94,660052.38,213716.42,219337.66,225838.25,2722923.25,2156412.50,2157301.25,2570424.00,2042984.38,3337331.75,2461689.25,2468948.50,2655549.75,2277640.50,2219497.50,1870718.75,3204171.50,2133790.50,1874958.00,2578823.00,2727801.25,2668530.00,2494598.25,2217199.50
,53,53,1,199.000977,1.755,0.605071,[M-H]-,,D-Erythrose 4-phosphate (1),C00279,C4H9O7P,3.615,1.686890,199.000977,0.00,0.00,36941.87,19179.74,5054.85,21412.70,0.00,35783.89,55288.55,38651.16,66126.00,260559.48,14630.16,196639.39,109643.78,50265.55,295230.97,201547.61,276828.12,146487.61,237401.06,253146.95,325855.38,178256.78,150163.39,158989.42,367960.31
,54,54,13,199.001160,2.062,0.829673,[M-H]-,,D-Erythrose 4-phosphate (1),C00279,C4H9O7P,3.308,0.766768,199.001160,0.00,2295.72,72493.30,57125.53,22370.03,119582.23,0.00,345607.53,247694.20,452590.88,602760.56,664827.50,219726.77,476191.88,476036.50,598653.56,393896.12,536364.81,439453.38,539838.88,389285.81,813720.06,483585.47,411689.41,264418.66,143463.64,371900.59
g,55,55,21,199.000793,6.545,0.828528,[M-H]-,,D-Erythrose 4-phosphate (1),C00279,C4H9O7P,1.175,2.607012,199.000793,74440.67,37785.85,777732.50,671535.12,292178.00,505369.06,305569.16,4208366.00,4067526.00,2310929.00,2503621.00,2463929.25,2800836.75,3252791.25,2718073.50,2964115.75,2352043.25,2942169.25,2164902.25,2800556.50,2425015.50,1945109.12,2888756.50,2404743.25,2919703.50,2102939.00,1648708.75
,56,56,17,199.000793,6.908,0.779811,[M-H]-,,D-Erythrose 4-phosphate (1),C00279,C4H9O7P,1.538,2.607012,199.000793,15298.94,18756.55,123001.01,44777.70,99599.73,82246.13,124117.86,1264796.75,1195912.50,869104.75,1336676.25,1335806.00,559804.38,1083123.88,902945.31,731130.06,811285.06,967848.06,404796.09,1035713.06,669382.88,495590.12,1086913.50,916750.19,1490089.75,526852.00,518322.03
,57,57,10,195.050293,8.629,0.795192,[M-H]-,,Gluconic acid (1),C00257,C6H12O7,3.429,3.755027,195.050293,10726264.00,2667847.00,1686658.00,1823338.50,1624598.75,1850476.38,1826734.50,51233908.00,42195580.00,12828291.00,24485282.00,56624440.00,51706988.00,40099652.00,42391800.00,30859950.00,35092116.00,52921308.00,42935756.00,31847688.00,41485792.00,35059292.00,42277672.00,46692900.00,28047024.00,38687740.00,37446152.00
,58,58,1,195.050308,7.299,0.635213,[M-H]-,,Gluconic acid (1),C00257,C6H12O7,2.099,3.676797,195.050308,170148.81,89173.07,63194.61,74803.54,76036.27,53620.83,56701.21,5750501.50,4288000.00,529978.62,2223777.25,4121433.25,6544454.00,3133691.00,3886364.00,3331880.00,2924093.25,3988263.00,4396995.00,3247108.50,3361951.50,3161522.25,4790548.50,4271815.00,2015795.62,2700663.50,3524949.25
,59,59,6,195.050354,8.258,0.626027,[M-H]-,,Gluconic acid (1),C00257,C6H12O7,3.058,3.442108,195.050354,332794.25,26289.98,157452.56,128954.12,81770.93,174670.22,98909.62,4920986.50,7940158.00,1101646.25,3313987.50,13180740.00,6302568.50,4872686.00,2015587.00,5684781.00,1755885.12,6474000.50,1959990.25,4684611.00,5304250.00,6352672.50,1731635.12,2676214.00,2922815.50,1412926.25,4996286.00
,60,60,2,195.050308,8.997,0.518104,[M-H]-,,Gluconic acid (1),C00257,C6H12O7,3.797,3.676797,195.050308,331595.56,56205.06,51433.36,142134.31,60920.55,95467.30,90558.95,3490329.50,2388913.25,187662.80,926337.56,3768603.00,3964173.00,2889660.25,2740552.00,1949275.12,2496767.50,4378140.50,3289460.25,1899720.25,2884434.50,2248998.00,2507474.00,4120591.75,1739960.75,2616011.50,3055913.50
,61,61,1,195.050293,9.694,0.674487,[M-H]-,,Gluconic acid (1),C00257,C6H12O7,4.494,3.755027,195.050293,389181.69,82861.05,38490.25,25487.74,94472.79,72993.64,116910.03,995757.75,2570756.25,311870.06,1295125.12,4653503.00,2758886.25,2266350.00,1839664.62,892418.12,2081779.38,2273904.00,2465748.75,1820548.88,1472897.00,3197458.00,2063230.50,4372062.50,526032.31,2722208.75,3513025.50
,62,62,11,191.018982,7.405,0.770283,[M-H]-,,Citric acid (1),C00158,C6H8O7,1.105,3.914154,191.018982,197132736.00,120246120.00,221763616.00,180314768.00,120209168.00,169012208.00,239541552.00,49211280.00,29076782.00,194116976.00,184568640.00,68326632.00,62385620.00,27161944.00,56938784.00,40670432.00,57170732.00,95856760.00,106517784.00,324752512.00,73820384.00,72660432.00,96200352.00,93648216.00,31324922.00,32914918.00,65607804.00
g,63,63,10,191.018967,8.072,0.706902,[M-H]-,,Citric acid (1),C00158,C6H8O7,1.772,3.994035,191.018967,1096049152.00,550523264.00,453164768.00,467597920.00,349998336.00,323379840.00,454852768.00,2628350464.00,1081807744.00,375187840.00,373457696.00,1749309952.00,2662786816.00,980702464.00,2470878208.00,612503104.00,1628755840.00,2834523136.00,3509531904.00,483914848.00,2506991104.00,1848794752.00,3130204160.00,2989452800.00,880281600.00,1293487488.00,2247737856.00
,64,64,11,187.108124,5.979,0.850741,[M-H]-,,N2-Acetyl-L-Lysine (1),C12989,C8H16N2O3,-1.000,3.669766,187.108124,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446043.53,107435.86,7643.54,65369.69,148474.38,221245.62,165189.45,160730.44,169558.41,185329.97,441691.88,294067.41,94910.61,153148.31,98878.23,301987.53,190810.45,40353.16,14879.21,71751.53
g,65,65,7,184.985062,6.932,0.811147,[M-H]-,,3-Phosphoglyceric acid (1),C00197,C3H7O7P,0.372,3.299453,184.985062,1928234.00,852992.06,4635032.00,2869388.00,1496892.62,2001332.00,2324703.50,92255248.00,66825096.00,7815626.00,18890796.00,49775324.00,71344104.00,55152836.00,52740060.00,46465492.00,73945672.00,105969576.00,77070224.00,14463835.00,54188932.00,51964792.00,100429176.00,79139240.00,31343462.00,49962116.00,46634952.00
,66,66,1,184.984955,10.673,0.755565,[M-H]-,,3-Phosphoglyceric acid (1),C00197,C3H7O7P,4.113,3.876858,184.984955,505114.38,44934.79,152074.33,65759.47,15178.50,107090.23,57673.96,2378941.25,1049676.12,95387.30,163098.94,512351.84,410489.06,174353.77,492374.25,311373.28,487109.81,387100.84,484458.50,60431.92,246307.00,502199.25,248210.20,304415.56,147456.25,448066.03,109660.09
,67,67,20,184.003906,3.121,0.852627,[M-H]-,,Phosphoserine (1),C01005,C3H8NO6P,2.479,12.273264,184.003906,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1629682.25,1357081.38,860078.44,1114819.38,1838252.75,1694842.00,1360771.25,1540920.12,1477908.38,1786922.62,1972573.50,1740445.75,2562277.00,1687456.88,1640952.00,1479545.25,1547253.25,867805.81,1703099.50,1639383.38
,68,68,3,183.999252,4.172,0.746783,[M-H]-,,Phosphoserine (1),C01005,C3H8NO6P,1.428,13.019611,183.999252,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12735.26,0.00,23153.32,48542.02,33731.10,0.00,27851.93,65647.71,33615.90,37079.51,0.00,9539.84,37756.41,48587.69,54332.93,0.00,10212.79,6548.63,40186.56,49836.29
,69,69,3,183.999466,6.227,0.842060,[M-H]-,,Phosphoserine (1),C01005,C3H8NO6P,0.627,11.858626,183.999466,0.00,0.00,0.00,0.00,0.00,0.00,7357.02,625976.62,75953.74,0.00,13851.66,111573.83,97121.42,10369.68,27593.27,13448.21,14041.64,16422.48,70088.46,62487.06,52645.54,10712.95,29986.74,14150.20,0.00,9381.57,119709.34
,70,70,1,184.001129,9.084,0.582647,[M-H]-,,Phosphoserine (1),C01005,C3H8NO6P,3.484,2.819534,184.001129,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59653.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18806.29,0.00,40034.00,0.00,38033.72,0.00,0.00,22755.31
,71,71,2,182.081543,5.319,0.842312,[M-H]-,,Epinephrine (1),C00788,C9H13NO3,-1.000,3.938676,182.081543,12784.83,5280.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52523.12,56331.79,170036.84,0.00,52687.79,27260.91,136220.91,23555.20,0.00,13804.48,25286.40,0.00,32853.05,0.00,0.00,0.00,48205.31,0.00
,72,72,17,180.065857,6.344,0.779671,[M-H]-,,L-Tyrosine (1),C00082,C9H11NO3,1.244,4.236984,180.065857,557111.19,128307.95,46875.53,40778.75,19694.36,60688.36,78398.03,561059.56,968291.31,517885.62,822995.38,1746830.75,887378.62,787827.69,1044001.75,609898.12,956484.38,1229435.25,1582181.12,1285716.62,773207.69,1365152.75,1607629.50,1346521.50,308758.81,1055022.00,1273775.75
,73,73,5,179.054184,2.039,0.808051,[M-H]-,,Galactose (1),C00124,C6H12O6,-1.000,10.737458,179.054184,3264.42,0.00,31760.42,27364.13,36842.34,13617.29,31170.06,338674.00,255043.92,103003.81,153282.88,708726.38,301659.62,250214.77,305150.44,370562.72,360539.19,486844.47,462315.09,376044.28,399653.72,516730.59,475018.72,312169.59,23394.95,193740.17,524126.16
,74,74,3,179.054062,2.371,0.793711,[M-H]-,,Galactose (1),C00124,C6H12O6,-1.000,11.419201,179.054062,2881.38,0.00,10626.06,58528.50,44488.18,18673.19,11858.50,236125.69,285968.91,611803.06,476598.06,447242.97,216495.12,326121.59,372824.03,518139.72,638306.56,362492.56,464512.56,458946.09,561822.81,503299.09,379053.88,412316.22,216387.23,503534.28,515693.56
,75,75,20,179.055359,5.968,0.830856,[M-H]-,,Galactose (1),C00124,C6H12O6,-1.000,4.175678,179.055359,11923.03,13591.04,83596.79,24661.62,34946.21,58081.09,69793.26,19610564.00,16657643.00,4934996.00,9908948.00,25057194.00,14676134.00,10194235.00,13563755.00,8529106.00,13390311.00,16803602.00,19539878.00,13492010.00,14395192.00,16569410.00,21261734.00,21157954.00,8690110.00,18696250.00,18670982.00
,76,76,20,179.055359,6.752,0.835784,[M-H]-,,Galactose (1),C00124,C6H12O6,-1.000,4.175678,179.055359,204368.48,103345.75,105683.52,30498.05,49366.12,23113.16,51629.38,41316696.00,31949178.00,9146689.00,19020270.00,51856656.00,59480440.00,43364448.00,43724168.00,28011086.00,45091724.00,65736392.00,53203984.00,50687712.00,49254092.00,49670060.00,46940912.00,45040528.00,17206982.00,37995980.00,37840060.00
,77,77,5,179.054184,2.039,0.808051,[M-H]-,,myo-Inositol (1),C00137,C6H12O6,3.861,10.737458,179.054184,3264.42,0.00,31760.42,27364.13,36842.34,13617.29,31170.06,338674.00,255043.92,103003.81,153282.88,708726.38,301659.62,250214.77,305150.44,370562.72,360539.19,486844.47,462315.09,376044.28,399653.72,516730.59,475018.72,312169.59,23394.95,193740.17,524126.16
,78,78,3,179.054062,2.371,0.793711,[M-H]-,,myo-Inositol (1),C00137,C6H12O6,3.529,11.419201,179.054062,2881.38,0.00,10626.06,58528.50,44488.18,18673.19,11858.50,236125.69,285968.91,611803.06,476598.06,447242.97,216495.12,326121.59,372824.03,518139.72,638306.56,362492.56,464512.56,458946.09,561822.81,503299.09,379053.88,412316.22,216387.23,503534.28,515693.56
,79,79,20,179.055359,5.968,0.830856,[M-H]-,,myo-Inositol (1),C00137,C6H12O6,0.068,4.175678,179.055359,11923.03,13591.04,83596.79,24661.62,34946.21,58081.09,69793.26,19610564.00,16657643.00,4934996.00,9908948.00,25057194.00,14676134.00,10194235.00,13563755.00,8529106.00,13390311.00,16803602.00,19539878.00,13492010.00,14395192.00,16569410.00,21261734.00,21157954.00,8690110.00,18696250.00,18670982.00
,80,80,20,179.055374,6.752,0.835784,[M-H]-,,myo-Inositol (1),C00137,C6H12O6,0.852,4.090460,179.055374,204368.48,103345.75,105683.52,30498.05,49366.12,23113.16,51629.38,41316696.00,31949178.00,9146689.00,19020270.00,51856656.00,59480440.00,43364448.00,43724168.00,28011086.00,45091724.00,65736392.00,53203984.00,50687712.00,49254092.00,49670060.00,46940912.00,45040528.00,17206982.00,37995980.00,37840060.00
,81,81,5,179.054184,2.039,0.808051,[M-H]-,,Glucose (1),C00031,C6H12O6,2.961,10.737458,179.054184,3264.42,0.00,31760.42,27364.13,36842.34,13617.29,31170.06,338674.00,255043.92,103003.81,153282.88,708726.38,301659.62,250214.77,305150.44,370562.72,360539.19,486844.47,462315.09,376044.28,399653.72,516730.59,475018.72,312169.59,23394.95,193740.17,524126.16
,82,82,3,179.054062,2.371,0.793711,[M-H]-,,Glucose (1),C00031,C6H12O6,2.629,11.419201,179.054062,2881.38,0.00,10626.06,58528.50,44488.18,18673.19,11858.50,236125.69,285968.91,611803.06,476598.06,447242.97,216495.12,326121.59,372824.03,518139.72,638306.56,362492.56,464512.56,458946.09,561822.81,503299.09,379053.88,412316.22,216387.23,503534.28,515693.56
,83,83,20,179.055359,5.968,0.830856,[M-H]-,,Glucose (1),C00031,C6H12O6,0.968,4.175678,179.055359,11923.03,13591.04,83596.79,24661.62,34946.21,58081.09,69793.26,19610564.00,16657643.00,4934996.00,9908948.00,25057194.00,14676134.00,10194235.00,13563755.00,8529106.00,13390311.00,16803602.00,19539878.00,13492010.00,14395192.00,16569410.00,21261734.00,21157954.00,8690110.00,18696250.00,18670982.00
g,84,84,20,179.055389,6.758,0.841989,[M-H]-,,Glucose (1),C00031,C6H12O6,1.758,4.005242,179.055389,530772.94,164667.70,131563.41,29515.42,39552.91,23113.16,51629.38,41924848.00,32299844.00,9200485.00,19229840.00,52499908.00,60183828.00,43746968.00,44210500.00,28346680.00,45601672.00,66669368.00,53911872.00,51269836.00,49797556.00,50299248.00,47476288.00,45712884.00,17356988.00,38479232.00,38451720.00
,85,85,5,179.054184,2.039,0.808051,[M-H]-,,Fructose (1),C00095,C6H12O6,2.681,10.737458,179.054184,3264.42,0.00,31760.42,27364.13,36842.34,13617.29,31170.06,338674.00,255043.92,103003.81,153282.88,708726.38,301659.62,250214.77,305150.44,370562.72,360539.19,486844.47,462315.09,376044.28,399653.72,516730.59,475018.72,312169.59,23394.95,193740.17,524126.16
,86,86,3,179.054123,2.371,0.793711,[M-H]-,,Fructose (1),C00095,C6H12O6,2.349,11.078330,179.054123,2881.38,0.00,10626.06,58528.50,44488.18,18673.19,11858.50,236125.69,285968.91,611803.06,476598.06,447242.97,216495.12,326121.59,372824.03,518139.72,638306.56,362492.56,464512.56,458946.09,561822.81,503299.09,379053.88,412316.22,216387.23,503534.28,515693.56
g,87,87,14,179.055359,5.971,0.694470,[M-H]-,,Fructose (1),C00095,C6H12O6,1.251,4.175678,179.055359,6625.17,13591.04,83596.79,24661.62,34946.21,58081.09,69793.26,19610564.00,16657643.00,4876627.50,9782681.00,25057194.00,14633301.00,10024009.00,13461654.00,8462261.00,13390311.00,16803602.00,19371568.00,13492010.00,14167906.00,16569410.00,21106602.00,20691622.00,8625762.00,18393538.00,18670982.00
,88,88,20,179.055374,6.752,0.835784,[M-H]-,,Fructose (1),C00095,C6H12O6,2.032,4.090460,179.055374,204368.48,103345.75,105683.52,30498.05,49366.12,23113.16,51629.38,41316696.00,31949178.00,9146689.00,19020270.00,51856656.00,59480440.00,43364448.00,43724168.00,28011086.00,45091724.00,65736392.00,53203984.00,50687712.00,49254092.00,49670060.00,46940912.00,45040528.00,17206982.00,37995980.00,37840060.00
b,89,89,12,172.121399,5.735,0.742915,[M-H]-,,IS_D8Phenylalanine_neg,IS_D8Phenylalanine_neg,,1.135,2.925485,172.121399,0.00,0.00,0.00,0.00,0.00,11741.79,12239.47,8281987.50,5937323.50,3323085.00,4351054.00,7955701.50,7974234.50,6394561.00,6228327.50,5195857.50,6180144.00,8813598.00,7164458.00,7516341.50,6255236.00,6427656.00,6398467.50,6976091.00,2449416.75,6273101.00,6342071.50
,90,90,2,172.121231,6.400,0.834673,[M-H]-,,IS_D8Phenylalanine_neg,IS_D8Phenylalanine_neg,,1.800,3.900647,172.121231,0.00,0.00,0.00,0.00,0.00,0.00,8510.96,1182792.88,980310.38,396320.56,714724.25,1868426.00,809667.12,294491.72,952740.00,629619.00,390192.00,1102607.38,1082842.88,1010873.12,1455297.00,1023365.31,2073398.50,847445.81,449301.25,500889.84,862608.94
,91,91,3,178.071335,1.900,0.846038,[M-H]-,,Glucosamine (1),C00329,C6H13NO5,-1.000,4.284441,178.071335,0.00,0.00,0.00,10647.48,0.00,4824.71,0.00,41418.10,59195.38,9012.99,0.00,64714.70,42475.59,13553.62,13011.58,131705.83,38901.21,42445.94,62741.30,100797.72,27358.97,15633.85,52875.27,57880.64,0.00,35417.51,44084.43
,92,92,20,177.035736,2.290,0.850342,[M-H]-,,L-Cysteinyl-glycine (1),C01419,C5H10N2O3S,-1.000,10.170576,177.035736,0.00,0.00,0.00,1563.59,855.03,0.00,0.00,385987.94,232723.34,112692.18,217317.50,423687.62,340513.22,377990.22,414472.62,342243.00,525425.19,559142.06,461578.66,432249.47,429912.00,439221.38,401208.97,451501.16,124947.07,392834.88,463133.00
,93,93,12,175.060654,1.790,0.828182,[M-H]-,,alpha-Isopropylmalate (1),C02504,C7H12O5,-1.000,3.137853,175.060654,3363.25,14335.22,22119.87,12093.21,4432.71,5222.11,511606.81,716086.44,1439212.38,392124.66,467180.66,496216.91,927538.75,295958.94,1074815.25,582657.31,514693.81,394553.16,620538.75,670556.69,745255.19,737230.56,527409.31,480772.72,171119.72,277425.59,286671.44
,94,94,4,175.060425,4.897,0.786173,[M-H]-,,alpha-Isopropylmalate (1),C02504,C7H12O5,-1.000,4.445292,175.060425,74126.39,8365.94,0.00,0.00,0.00,0.00,27793.56,65097.73,102500.37,243150.02,327354.56,233816.91,12291.92,174071.06,184282.30,208116.88,213042.25,35694.05,25584.10,113076.73,111750.73,113635.03,97906.47,66382.43,334659.50,47336.09,135611.36
,95,95,18,175.060425,5.679,0.846598,[M-H]-,,alpha-Isopropylmalate (1),C02504,C7H12O5,-1.000,4.445292,175.060425,200459.72,74649.99,5614.47,0.00,3964.70,0.00,27167.14,739551.50,262688.66,121042.03,187320.42,350378.53,466634.06,345670.06,396789.16,300868.53,259487.39,397849.44,367980.56,420429.59,325793.34,260643.91,294035.94,325607.72,93298.49,290837.78,203482.33
g,96,96,14,175.035217,6.412,0.840141,[M-H]-,,Carbamoyl aspartate (1),C00438,C5H8N2O5,1.112,4.707457,175.035217,10368701.00,2659364.50,15124631.00,9374147.00,9519758.00,10148412.00,9389756.00,346656480.00,346814144.00,303782688.00,360837984.00,300356160.00,474403104.00,403630944.00,373734144.00,392648832.00,356992960.00,350593120.00,299735680.00,499732224.00,319767936.00,298304608.00,392076928.00,381715040.00,399260800.00,391770016.00,348192928.00
,97,97,1,175.035172,7.171,0.518979,[M-H]-,,Carbamoyl aspartate (1),C00438,C5H8N2O5,1.871,4.968982,175.035172,27452.57,0.00,485570.38,752473.62,556295.94,416278.69,574357.88,12368000.00,15081431.00,15063520.00,12683316.00,18620810.00,21620964.00,17194840.00,11618905.00,23807594.00,18265772.00,15123274.00,14829739.00,29760706.00,14217424.00,20979336.00,12992380.00,23799432.00,3064630.50,21397126.00,27963406.00
,98,98,3,175.024063,4.774,0.763432,[M-H]-,,Ascorbic acid (1),C00072,C6H8O6,0.426,4.271855,175.024063,0.00,7678.70,5811.94,6036.05,13870.35,0.00,0.00,0.00,37716.23,597439.12,396097.53,0.00,0.00,150191.34,456368.62,340483.03,130392.29,19260.00,36494.58,128747.59,102363.37,202360.00,9435.74,0.00,48185.85,206029.44,27232.79
,99,99,22,175.024094,6.162,0.837779,[M-H]-,,Ascorbic acid (1),C00072,C6H8O6,0.962,4.097494,175.024094,1389551.62,332441.69,375443.59,269153.72,307375.03,293234.78,283135.03,2653514.50,1372301.38,1344844.50,1325399.88,1712527.62,1834725.50,1660340.62,2445809.00,1346401.88,1321196.62,2520865.25,2246417.00,1925082.62,1801295.75,1696327.38,2346390.75,1913675.50,1015041.25,1804056.75,1406531.75
,100,100,1,175.024139,6.537,0.782632,[M-H]-,,Ascorbic acid (1),C00072,C6H8O6,1.337,3.835952,175.024139,1222036.62,628773.94,274286.53,253652.80,207557.77,242654.23,232284.73,1463530.75,1146958.00,1269594.12,1260230.12,1306016.62,1189806.62,1693600.88,1713822.88,1382387.88,1226995.00,1553751.75,1916869.38,3768320.00,2472128.25,1404344.38,1680729.12,854731.50,715627.06,1003684.31,769683.25
g,101,101,15,174.087662,6.926,0.753339,[M-H]-,,Citrulline (1),C00327,C6H13N3O3,1.126,4.294833,174.087662,0.00,0.00,4425.84,0.00,0.00,0.00,0.00,5315122.00,4888224.00,1600092.75,3508095.25,5865781.50,5600666.00,4577700.00,4742692.50,4047096.00,4214492.50,5977742.50,5895448.00,5974160.00,4844684.00,4638140.50,5812723.00,5394428.50,3068343.50,4837902.00,4449677.50
,102,102,2,174.087723,7.779,0.634497,[M-H]-,,Citrulline (1),C00327,C6H13N3O3,1.979,3.944234,174.087723,0.00,0.00,0.00,0.00,0.00,0.00,0.00,545299.06,299923.09,92382.32,606147.06,2145206.25,763138.94,752494.25,471637.75,438773.62,448947.75,1461996.00,1156633.62,897643.81,557198.81,471681.03,640117.75,872077.12,463038.88,594036.00,433048.69
,103,103,9,174.087692,8.054,0.833436,[M-H]-,,Citrulline (1),C00327,C6H13N3O3,2.254,4.119534,174.087692,0.00,0.00,0.00,0.00,0.00,0.00,0.00,885042.50,840017.38,197620.08,564269.31,631077.00,488329.72,843007.25,1023714.44,881369.12,796454.56,471021.75,689201.12,787965.06,771683.69,1030615.44,887454.25,689475.62,529767.19,761190.12,838692.12
,104,104,13,174.055466,1.976,0.840550,[M-H]-,,N-Acetylindoxyl (1),C02298,C10H9NO2,-1.000,3.331306,174.055466,0.00,0.00,4520.90,4775.64,4954.41,2964.69,0.00,284741.22,156515.88,43583.34,194303.08,298680.12,72421.72,274447.12,189639.06,218048.33,176432.06,313551.62,338066.28,168288.36,565495.31,317250.03,312951.06,123653.34,169771.83,220224.86,429239.47
,105,105,1,174.040085,4.567,0.702622,[M-H]-,,N-Acetyl-L-aspartic Acid (1),C01042,C6H9NO5,0.733,4.120661,174.040085,0.00,0.00,6153.29,6405.79,5793.56,6401.85,28879.00,46256.73,55632.93,114526.78,80720.86,119157.12,127833.35,24493.65,36956.05,78960.96,206315.62,81272.94,131703.09,64344.83,93081.77,134615.11,53966.20,55763.88,162330.55,143547.41,72688.34
g,106,106,27,174.039932,6.289,0.822029,[M-H]-,,N-Acetyl-L-aspartic Acid (1),C01042,C6H9NO5,0.989,4.997397,174.039932,4436867.00,1721490.62,1857558.62,898336.19,1086212.88,923961.31,782670.38,265239392.00,215286416.00,79732032.00,148443968.00,217304464.00,339142016.00,244685488.00,243005872.00,187399296.00,208453456.00,303868576.00,250298432.00,258028208.00,217266032.00,198025760.00,268360624.00,236039968.00,137573456.00,211764064.00,191349712.00
g,107,107,3,173.103729,13.007,0.686257,[M-H]-,,L-Arginine (1),C00062,C6H14N4O2,3.207,3.878508,173.103729,20322.85,43816.66,42823.14,27258.96,18227.47,36606.22,29572.43,19021082.00,14166285.00,2177954.25,8409497.00,25297162.00,19768216.00,13172535.00,18718034.00,10003538.00,14570794.00,22017864.00,24426566.00,15250238.00,19166396.00,18136890.00,18286230.00,18582060.00,6763787.00,17437570.00,16651453.00
,108,108,2,173.009033,5.342,0.613041,[M-H]-,,cis-Aconitic acid (1),C00417,C6H6O6,0.058,0.793768,173.009033,0.00,0.00,0.00,23036.99,5718.07,9637.78,9867.38,142306.58,479456.62,584178.50,451308.25,1233791.25,0.00,150973.44,98975.89,24450.42,448984.28,323869.53,1351895.75,526729.38,959178.06,1440713.12,912891.44,1711121.75,899784.19,2321815.00,3943547.25
g,109,109,1,173.008286,6.386,0.531093,[M-H]-,,cis-Aconitic acid (1),C00417,C6H6O6,0.986,5.115392,173.008286,692208.50,235456.22,358268.97,226520.81,162116.44,256371.83,276629.06,10113673.00,9316957.00,4230133.50,6292701.00,11725473.00,15709092.00,11445596.00,12961498.00,10119597.00,14389831.00,17843340.00,14058885.00,14649756.00,13861394.00,14174576.00,13313796.00,12130130.00,5709398.50,11909416.00,11644067.00
